"Ethnicity","Geography","%","Pupils"
"White","All - England","42.1","405,100"
"White","Barking and Dagenham","35.1","970"
"White","Barnet","58.6","1,728"
"White","Barnsley","38.8","2,051"
"White","Bath and North East Somerset","42.4","1,838"
"White","Bedford","40.3","1,294"
"White","Bexley","43.7","2,086"
"White","Birmingham","40.7","4,326"
"White","Blackburn with Darwen","33.9","890"
"White","Blackpool","26.8","1,134"
"White","Bolton","36.5","2,313"
"White","Bournemouth","47.0","1,428"
"White","Bracknell Forest","43.4","989"
"White","Bradford","34.1","2,743"
"White","Brent","43.8","507"
"White","Brighton and Hove","47.5","1,847"
"White","Bristol, City of","41.8","2,376"
"White","Bromley","47.1","2,231"
"White","Buckinghamshire","56.3","4,016"
"White","Bury","38.4","1,697"
"White","Calderdale","45.7","1,997"
"White","Cambridgeshire","46.6","5,032"
"White","Camden","52.0","577"
"White","Central Bedfordshire","42.6","2,347"
"White","Cheshire East","46.5","3,378"
"White","Cheshire West and Chester","39.6","3,181"
"White","City of London","N/A","N/A"
"White","Cornwall","38.2","4,928"
"White","County Durham","34.6","4,459"
"White","Coventry","33.4","2,198"
"White","Croydon","41.4","1,338"
"White","Cumbria","42.2","4,652"
"White","Darlington","43.6","998"
"White","Derby","37.2","1,944"
"White","Derbyshire","42.0","6,965"
"White","Devon","42.5","6,265"
"White","Doncaster","37.7","2,757"
"White","Dorset","39.5","3,792"
"White","Dudley","38.0","2,820"
"White","Ealing","53.5","736"
"White","East Riding of Yorkshire","44.7","3,236"
"White","East Sussex","38.3","4,395"
"White","Enfield","40.8","1,747"
"White","Essex","41.4","12,778"
"White","Gateshead","39.3","1,784"
"White","Gloucestershire","46.2","5,633"
"White","Greenwich","38.8","1,008"
"White","Hackney","51.9","648"
"White","Halton","30.3","1,347"
"White","Hammersmith and Fulham","63.5","578"
"White","Hampshire","45.1","11,749"
"White","Haringey","47.5","1,024"
"White","Harrow","42.6","540"
"White","Hartlepool","37.7","939"
"White","Havering","45.4","2,141"
"White","Herefordshire, County of","43.8","1,655"
"White","Hertfordshire","50.0","10,391"
"White","Hillingdon","40.2","1,482"
"White","Hounslow","44.1","958"
"White","Isle of Wight","32.3","1,196"
"White","Isles of Scilly","!","18"
"White","Islington","43.2","525"
"White","Kensington and Chelsea","60.9","302"
"White","Kent","40.3","13,538"
"White","Kingston upon Hull, City of","29.7","2,018"
"White","Kingston upon Thames","56.6","915"
"White","Kirklees","44.7","2,794"
"White","Knowsley","24.5","944"
"White","Lambeth","44.8","504"
"White","Lancashire","42.6","10,415"
"White","Leeds","41.8","5,420"
"White","Leicester","26.5","1,139"
"White","Leicestershire","43.7","5,987"
"White","Lewisham","41.6","675"
"White","Lincolnshire","41.7","7,160"
"White","Liverpool","36.1","3,768"
"White","Luton","30.3","780"
"White","Manchester","29.7","2,120"
"White","Medway","38.4","2,415"
"White","Merton","49.7","672"
"White","Middlesbrough","35.5","1,061"
"White","Milton Keynes","40.6","1,985"
"White","Newcastle upon Tyne","34.5","1,888"
"White","Newham","36.0","597"
"White","Norfolk","39.4","7,418"
"White","North East Lincolnshire","37.0","1,431"
"White","North Lincolnshire","40.2","1,630"
"White","North Somerset","43.7","1,996"
"White","North Tyneside","43.6","1,845"
"White","North Yorkshire","50.1","5,632"
"White","Northamptonshire","39.8","6,228"
"White","Northumberland","39.0","3,046"
"White","Nottingham","29.0","1,453"
"White","Nottinghamshire","45.1","6,821"
"White","Oldham","37.5","1,802"
"White","Oxfordshire","48.5","5,077"
"White","Peterborough","34.5","1,608"
"White","Plymouth","37.8","2,371"
"White","Poole","53.2","1,222"
"White","Portsmouth","34.9","1,412"
"White","Reading","48.0","642"
"White","Redbridge","45.8","856"
"White","Redcar and Cleveland","42.0","1,480"
"White","Richmond upon Thames","59.9","1,018"
"White","Rochdale","33.3","1,493"
"White","Rotherham","37.3","2,672"
"White","Rutland","57.4","458"
"White","Salford","31.4","1,775"
"White","Sandwell","26.8","1,901"
"White","Sefton","37.9","2,833"
"White","Sheffield","39.8","3,879"
"White","Shropshire","42.2","2,647"
"White","Slough","43.0","456"
"White","Solihull","44.6","2,217"
"White","Somerset","40.0","4,648"
"White","South Gloucestershire","39.4","2,337"
"White","South Tyneside","34.9","1,388"
"White","Southampton","32.1","1,489"
"White","Southend-on-Sea","51.5","1,715"
"White","Southwark","53.2","656"
"White","St. Helens","38.1","1,566"
"White","Staffordshire","39.3","7,861"
"White","Stockport","43.9","2,276"
"White","Stockton-on-Tees","41.5","1,758"
"White","Stoke-on-Trent","32.6","1,706"
"White","Suffolk","40.0","6,201"
"White","Sunderland","33.6","2,590"
"White","Surrey","51.0","8,621"
"White","Sutton","52.6","1,644"
"White","Swindon","35.2","1,667"
"White","Tameside","38.6","1,995"
"White","Telford and Wrekin","40.9","1,596"
"White","Thurrock","35.3","1,276"
"White","Torbay","!","1,186"
"White","Tower Hamlets","37.3","300"
"White","Trafford","61.8","2,042"
"White","Wakefield","41.9","3,161"
"White","Walsall","30.9","2,191"
"White","Waltham Forest","43.1","883"
"White","Wandsworth","58.5","556"
"White","Warrington","45.9","2,126"
"White","Warwickshire","47.0","4,875"
"White","West Berkshire","48.7","1,587"
"White","West Sussex","45.3","7,007"
"White","Westminster","59.5","385"
"White","Wigan","37.7","3,172"
"White","Wiltshire","43.8","4,225"
"White","Windsor and Maidenhead","51.3","1,159"
"White","Wirral","43.0","3,158"
"White","Wokingham","55.2","1,270"
"White","Wolverhampton","31.6","1,362"
"White","Worcestershire","44.2","4,937"
"White","York","47.9","1,512"
